Paper_ID,Fitness,Fitness_class,Pre_postcop,Trait,Trait_class,biol_interaction,Trait.variant,Sex,Group_factor,Year,Density,Grouping_2,Grouping_3,Treatment,min_freq,max_freq,freq_range,Lab_Field,Method,Kingdom,Class,Order,Phylum,Genus,Species,d,var_d,total_n,Resarcher,Authors,Title,Journal,Pub_Year,Source,species,Gs,Var_Gs,species2
3,Eggs per plant,Viability,,Genetic varaint,Genotype,Herbivory,Resistant,Hermaphrodites,,NA,NA,,,,0.1,0.9,0.8,Laboratory,Laboratory,Plantae,Magnoliopsida,Solanales,Tracheophyta,Datura,Datura stramonium,-0.0224584,0.09259469,120,Miguel,"Garrido, E.; Llamas-Guzman, L. P.; Fornoni, J.",The effect of frequency-dependent selection on resistance and tolerance to herbivory,JOURNAL OF EVOLUTIONARY BIOLOGY,2016,WoS,Datura stramonium,-0.022315353,0.09259469,Datura stramonium
3,Eggs per plant,Viability,,Genetic varaint,Genotype,Herbivory,Tolerant,Hermaphrodites,,NA,NA,,,,0.1,0.9,0.8,Laboratory,Laboratory,Plantae,Magnoliopsida,Solanales,Tracheophyta,Datura,Datura stramonium,0.37270507,0.09317138,120,Miguel,"Garrido, E.; Llamas-Guzman, L. P.; Fornoni, J.",The effect of frequency-dependent selection on resistance and tolerance to herbivory,JOURNAL OF EVOLUTIONARY BIOLOGY,2016,WoS,Datura stramonium,0.370331152,0.09317138,Datura stramonium
3,Seed production,Fecundity,,Genetic varaint,Genotype,Herbivory,Resistant,Hermaphrodites,,NA,NA,,,,0.1,0.9,0.8,Laboratory,Laboratory,Plantae,Magnoliopsida,Solanales,Tracheophyta,Datura,Datura stramonium,0.862521785,0.095692359,120,Miguel,"Garrido, E.; Llamas-Guzman, L. P.; Fornoni, J.",The effect of frequency-dependent selection on resistance and tolerance to herbivory,JOURNAL OF EVOLUTIONARY BIOLOGY,2016,WoS,Datura stramonium,1.052183108,0.095692359,Datura stramonium
3,Seed production,Fecundity,,Genetic varaint,Genotype,Herbivory,Tolerant,Hermaphrodites,,NA,NA,,,,0.1,0.9,0.8,Laboratory,Laboratory,Plantae,Magnoliopsida,Solanales,Tracheophyta,Datura,Datura stramonium,-0.26575385,0.092886864,120,Miguel,"Garrido, E.; Llamas-Guzman, L. P.; Fornoni, J.",The effect of frequency-dependent selection on resistance and tolerance to herbivory,JOURNAL OF EVOLUTIONARY BIOLOGY,2016,WoS,Datura stramonium,-0.355707638,0.092886864,Datura stramonium
5,Rating for blond,Sexual,Precopulatory,Colour morph,Colouration,Reproductive competition,Blond,Females,Self blond,NA,NA,,,,0.11,0.33,0.22,Laboratory,Laboratory,Animalia,Mammalia,Primates,Chordata,Homo,Homo sapiens,0.173253278,0.074352006,54,Miguel,"Janif, Zinnia J.; Brooks, Robert C.; Dixson, Barnaby J.",Are Preferences for Women's Hair Color Frequency-Dependent?,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,2015,WoS,Homo sapiens,0.173253278,0.074352006,Homo sapiens
5,Rating for blond,Sexual,Precopulatory,Colour morph,Colouration,Reproductive competition,Blond,Females,Self brown,NA,NA,,,,0.11,0.33,0.22,Laboratory,Laboratory,Animalia,Mammalia,Primates,Chordata,Homo,Homo sapiens,-0.00821503,0.074074699,54,Miguel,"Janif, Zinnia J.; Brooks, Robert C.; Dixson, Barnaby J.",Are Preferences for Women's Hair Color Frequency-Dependent?,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,2015,WoS,Homo sapiens,-0.00821503,0.074074699,Homo sapiens
5,Rating for blond,Sexual,Precopulatory,Colour morph,Colouration,Reproductive competition,Blond,Females,Self red,NA,NA,,,,0.11,0.33,0.22,Laboratory,Laboratory,Animalia,Mammalia,Primates,Chordata,Homo,Homo sapiens,-0.279257333,0.074796154,54,Miguel,"Janif, Zinnia J.; Brooks, Robert C.; Dixson, Barnaby J.",Are Preferences for Women's Hair Color Frequency-Dependent?,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,2015,WoS,Homo sapiens,-0.279257333,0.074796154,Homo sapiens
5,Rating for blond,Sexual,Precopulatory,Colour morph,Colouration,Reproductive competition,Brown,Females,Self blond,NA,NA,,,,0.11,0.33,0.22,Laboratory,Laboratory,Animalia,Mammalia,Primates,Chordata,Homo,Homo sapiens,0.092269766,0.074152905,54,Miguel,"Janif, Zinnia J.; Brooks, Robert C.; Dixson, Barnaby J.",Are Preferences for Women's Hair Color Frequency-Dependent?,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,2015,WoS,Homo sapiens,0.092269766,0.074152905,Homo sapiens
5,Rating for blond,Sexual,Precopulatory,Colour morph,Colouration,Reproductive competition,Red,Females,Self blond,NA,NA,,,,0.11,0.33,0.22,Laboratory,Laboratory,Animalia,Mammalia,Primates,Chordata,Homo,Homo sapiens,0.075802863,0.074127278,54,Miguel,"Janif, Zinnia J.; Brooks, Robert C.; Dixson, Barnaby J.",Are Preferences for Women's Hair Color Frequency-Dependent?,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,2015,WoS,Homo sapiens,0.075802863,0.074127278,Homo sapiens
5,Rating for blond,Sexual,Precopulatory,Colour morph,Colouration,Reproductive competition,Brown,Females,Self brown,NA,NA,,,,0.11,0.33,0.22,Laboratory,Laboratory,Animalia,Mammalia,Primates,Chordata,Homo,Homo sapiens,0.02377564,0.074079308,54,Miguel,"Janif, Zinnia J.; Brooks, Robert C.; Dixson, Barnaby J.",Are Preferences for Women's Hair Color Frequency-Dependent?,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,2015,WoS,Homo sapiens,0.02377564,0.074079308,Homo sapiens
